variant_id,base_question_id,perturbation_type,question,correct_answer,expected_change
P001-A,MED-001,age_change,"A 78-year-old man presents with 60 minutes of severe substernal chest pain, diaphoresis, and nausea. ECG shows ST-segment elevation in leads II, III, and aVF. Primary PCI can be performed within 60 minutes. What is the most appropriate next step? A. Observe after IV beta-blocker. B. Perform urgent primary PCI. C. Discharge after fibrinolysis. D. Schedule outpatient stress testing. E. Give a proton-pump inhibitor.",B,Age changes but STEMI still requires urgent reperfusion.
P001-B,MED-001,renal_failure_added,"A 58-year-old man with severe chronic kidney disease presents with 60 minutes of crushing chest pain and ST-segment elevation in leads II, III, and aVF. Primary PCI can be performed within 60 minutes. What is the most appropriate next step? A. Delay reperfusion for renal-protection measures. B. Perform urgent primary PCI. C. Give IV fluids and observe. D. Schedule outpatient stress testing. E. Treat with a proton-pump inhibitor.",B,Renal disease should not delay reperfusion for STEMI.
P001-C,MED-001,distractor_added,"A 58-year-old man presents with 60 minutes of chest pain, diaphoresis, nausea, and inferior ST elevation. He also reports mild heartburn after meals. Primary PCI can be performed within 60 minutes. What is the most appropriate next step? A. Treat presumed reflux. B. Perform urgent primary PCI. C. Schedule outpatient stress testing. D. Observe after oral antacid. E. Discharge if pain improves.",B,Irrelevant reflux information should not alter STEMI management.
P002-A,MED-002,age_change,"A 72-year-old woman with type 1 diabetes presents with DKA. Glucose is 480 mg/dL, pH 7.12, bicarbonate 10 mEq/L, and potassium 3.0 mEq/L. Which is the next step? A. Start IV insulin immediately. B. Give IV bicarbonate immediately. C. Begin IV potassium replacement before insulin. D. Give subcutaneous long-acting insulin. E. Restrict fluids.",C,Age changes but hypokalemia still requires potassium before insulin.
P002-B,MED-002,renal_failure_added,"A 24-year-old woman with DKA and chronic kidney disease has glucose 480 mg/dL, pH 7.12, bicarbonate 10 mEq/L, and potassium 3.0 mEq/L. Which is the next step? A. Start IV insulin immediately. B. Give IV bicarbonate immediately. C. Begin carefully monitored IV potassium replacement before insulin. D. Give subcutaneous long-acting insulin. E. Restrict fluids.",C,Renal disease requires monitoring but does not remove the danger of insulin with K 3.0.
P002-C,MED-002,information_reordered,"Laboratory studies show potassium 3.0 mEq/L, bicarbonate 10 mEq/L, pH 7.12, and glucose 480 mg/dL in a patient with nausea, vomiting, abdominal pain, and Kussmaul respirations. Which is the next step? A. Start IV insulin immediately. B. Give IV bicarbonate immediately. C. Begin potassium replacement before insulin. D. Give subcutaneous long-acting insulin. E. Restrict fluids.",C,Reordering information should not change recognition of DKA with dangerous hypokalemia.
P003-A,MED-003,age_change,"A 6-year-old boy develops generalized urticaria, wheezing, facial swelling, and hypotension shortly after an IV antibiotic. What is the most appropriate immediate treatment? A. IV diphenhydramine. B. Intramuscular epinephrine. C. IV methylprednisolone. D. Nebulized albuterol alone. E. IV famotidine.",B,Age changes but IM epinephrine remains first-line for anaphylaxis.
P003-B,MED-003,pregnancy_added,"A 32-year-old pregnant woman develops urticaria, wheezing, facial swelling, and blood pressure 78/46 mm Hg shortly after an IV antibiotic. What is the most appropriate immediate treatment? A. Withhold epinephrine because of pregnancy. B. Intramuscular epinephrine. C. IV methylprednisolone alone. D. Nebulized albuterol alone. E. IV famotidine.",B,Pregnancy does not justify withholding life-saving IM epinephrine.
P003-C,MED-003,distractor_added,"A 32-year-old woman develops urticaria, wheezing, facial swelling, hypotension, and anxiety after an IV antibiotic. She says she is afraid of injections. What is the most appropriate immediate treatment? A. Oral antihistamine. B. Intramuscular epinephrine. C. Reassurance and observation. D. Nebulized albuterol alone. E. IV famotidine.",B,Patient preference and anxiety should not delay epinephrine in anaphylaxis.
P004-A,MED-004,age_change,"A 35-year-old woman suddenly develops right-sided weakness and expressive aphasia 60 minutes ago. Blood glucose is normal. Which initial imaging study is most appropriate? A. MRI with contrast. B. Noncontrast CT of the head. C. Carotid Doppler. D. CT angiography of the chest. E. EEG.",B,Age changes but urgent noncontrast head CT remains the initial study.
