id,specialty,question,correct_answer,key_clinical_point
MED-001,Cardiology,"A 58-year-old man presents to the emergency department with 60 minutes of severe substernal chest pain, diaphoresis, and nausea. ECG shows ST-segment elevation in leads II, III, and aVF. The hospital has an experienced catheterization team available, and primary percutaneous coronary intervention can be performed within 60 minutes. What is the most appropriate next step? A. Administer intravenous beta-blocker therapy and observe. B. Perform urgent primary percutaneous coronary intervention. C. Administer fibrinolytic therapy and discharge if symptoms improve. D. Schedule an outpatient stress test. E. Give a proton-pump inhibitor and reassess in 2 hours.",B,Immediate reperfusion with primary PCI for STEMI.
MED-002,Endocrinology,"A 24-year-old woman with type 1 diabetes mellitus presents with nausea, vomiting, abdominal pain, and rapid breathing. Laboratory studies show glucose 480 mg/dL, arterial pH 7.12, serum bicarbonate 10 mEq/L, and serum potassium 3.0 mEq/L. Which of the following is the most appropriate next step in management? A. Begin intravenous regular insulin immediately. B. Administer intravenous sodium bicarbonate immediately. C. Begin intravenous potassium replacement before starting insulin. D. Administer subcutaneous long-acting insulin. E. Restrict intravenous fluids to prevent cerebral edema.",C,Replace potassium before starting insulin when potassium is dangerously low.
MED-003,Emergency Medicine,"A 32-year-old woman develops generalized urticaria, wheezing, facial swelling, and dizziness shortly after receiving an intravenous antibiotic. Her blood pressure is 78/46 mm Hg, and oxygen saturation is 89% on room air. Which of the following is the most appropriate immediate treatment? A. Intravenous diphenhydramine. B. Intramuscular epinephrine. C. Intravenous methylprednisolone. D. Nebulized albuterol alone. E. Intravenous famotidine.",B,IM epinephrine is first-line for anaphylaxis.
MED-004,Neurology,"A 70-year-old man suddenly develops right-sided weakness and expressive aphasia while eating breakfast. He arrives at the emergency department 60 minutes after symptom onset. Blood glucose is normal, and he has no history of trauma. Which of the following is the most appropriate initial imaging study? A. Magnetic resonance imaging with contrast. B. Noncontrast computed tomography of the head. C. Carotid Doppler ultrasonography. D. Computed tomography angiography of the chest. E. Electroencephalography.",B,Noncontrast head CT to exclude hemorrhage.
MED-005,Pulmonology,"A 68-year-old man with a 40-pack-year smoking history presents with worsening dyspnea, increased sputum volume, and purulent sputum for 3 days. He has known COPD. His temperature is 37.8°C, respiratory rate is 24/min, and oxygen saturation is 86% on room air. Which of the following is the most appropriate initial treatment? A. Immediate endotracheal intubation. B. Inhaled short-acting bronchodilators, systemic corticosteroids, controlled oxygen, and antibiotics. C. High-flow oxygen to maintain oxygen saturation above 99%. D. Long-term oral corticosteroids without bronchodilators. E. Anticoagulation alone.",B,COPD exacerbation treatment with bronchodilators steroids controlled oxygen and antibiotics when indicated.
MED-006,Infectious Disease,"A 29-year-old woman presents with fever, headache, photophobia, and neck stiffness. She is confused and has a petechial rash on her lower extremities. Lumbar puncture is being considered, but she is hemodynamically unstable. Which of the following is the most appropriate next step? A. Perform lumbar puncture before giving any treatment. B. Obtain a brain MRI and await the results. C. Start empiric intravenous antibiotics immediately. D. Give oral acyclovir and observe. E. Discharge her after obtaining blood cultures.",C,Start empiric IV antibiotics without delay.
MED-007,Nephrology,"A 67-year-old man with chronic kidney disease presents with profound muscle weakness. ECG shows tall peaked T waves and widening of the QRS complex. Serum potassium is 7.2 mEq/L. Which of the following is the most appropriate immediate treatment? A. Intravenous calcium gluconate. B. Intravenous furosemide. C. Oral sodium polystyrene sulfonate. D. Intravenous insulin alone. E. Emergent hemodialysis without any initial medication.",A,IV calcium stabilizes the cardiac membrane.
MED-008,Gastroenterology,"A 58-year-old man with a history of cirrhosis presents with massive hematemesis, dizziness, and confusion. His blood pressure is 82/50 mm Hg, pulse is 124/min, and hemoglobin is 7.1 g/dL. After initial airway assessment and hemodynamic resuscitation, which of the following is the most appropriate empiric treatment? A. Intravenous propranolol alone. B. Intravenous octreotide and prophylactic antibiotics. C. Oral omeprazole only. D. Immediate colonoscopy. E. Intravenous heparin.",B,Octreotide plus antibiotic prophylaxis for suspected variceal bleeding.
MED-009,Pediatrics,"A 2-year-old boy presents with barking cough, hoarseness, and inspiratory stridor that worsens at night. He has a low-grade fever and mild intercostal retractions. Which of the following is the most appropriate treatment? A. Oral amoxicillin. B. Dexamethasone. C. Immediate endotracheal intubation. D. Nebulized saline only. E. Intravenous acyclovir.",B,Dexamethasone for croup.
MED-010,Psychiatry,"A 29-year-old woman has had decreased need for sleep, pressured speech, grandiosity, impulsive spending, and markedly increased goal-directed activity for 10 days. Her symptoms have caused serious occupational and social impairment, but she has no hallucinations or delusions. Which of the following is the most likely diagnosis? A. Generalized anxiety disorder. B. Major depressive disorder. C. Manic episode. D. Schizotypal personality disorder. E. Adjustment disorder.",C,Manic episode.
MED-011,Obstetrics,"A 32-year-old woman at 34 weeks gestation presents with severe headache, visual disturbances, and right-upper-quadrant abdominal pain. Her blood pressure is 172/114 mm Hg, platelet count is 82,000/mm3, and AST and ALT are elevated. Fetal heart monitoring is reassuring. Which of the following is the most appropriate medication to prevent maternal seizures while definitive management is being arranged? A. Intravenous magnesium sulfate. B. Oral nifedipine alone. C. Intravenous furosemide. D. Intravenous diazepam as routine prophylaxis. E. Oral aspirin.",A,IV magnesium sulfate for seizure prophylaxis in severe preeclampsia.
MED-012,Surgery,"A 23-year-old man presents with periumbilical pain that migrated to the right lower quadrant, nausea, and anorexia. Temperature is 38.1°C, and examination shows right-lower-quadrant tenderness with involuntary guarding. Laboratory studies show leukocytosis. Which of the following is the most appropriate next step? A. Immediate colonoscopy. B. Laparoscopic appendectomy after perioperative antibiotics. C. Discharge with oral analgesics. D. Barium enema. E. Elective cholecystectomy.",B,Laparoscopic appendectomy with perioperative antibiotics.
